0,1,2,3,4,5,6,7
15.4,0.9922,1.4787,1.4173,1.4381,1.4663,1.3675,1.3941
15.5,0.9922,1.4787,1.4264,1.4264,1.4746,1.3766,1.3849
15.6,0.9922,1.4771,1.4281,1.4057,1.4771,1.3774,1.3816
15.7,0.9922,1.4696,1.4239,1.399,1.4713,1.3824,1.4073
15.8,0.9922,1.4696,1.4256,1.3916,1.468,1.3799,1.4015
15.9,0.9922,1.4621,1.4372,1.3891,1.4646,1.3683,1.3799
16,0.9922,1.4522,1.4439,1.3791,1.4754,1.3625,1.3816
16.1,0.9922,1.4563,1.4406,1.3808,1.4713,1.3683,1.3949
16.2,0.9922,1.4563,1.4489,1.3708,1.4663,1.3667,1.4015
16.3,0.9922,1.4538,1.4538,1.3675,1.4588,1.3774,1.4032
16.4,0.9922,1.4513,1.4538,1.3799,1.453,1.3907,1.4073
16.5,0.9922,1.4513,1.443,1.3849,1.4563,1.399,1.4181
16.6,0.9922,1.4455,1.4522,1.3874,1.4605,1.3949,1.4173
16.7,0.9922,1.4406,1.4596,1.3725,1.4696,1.3924,1.4098
16.8,0.9922,1.4406,1.4563,1.3816,1.4613,1.4215,1.4123
16.9,0.9922,1.4389,1.4646,1.37,1.4356,1.4206,1.4298
17,0.9922,1.4389,1.458,1.3642,1.4489,1.4073,1.4422
17.1,0.9922,1.4364,1.463,1.3584,1.4389,1.4264,1.4356
17.2,0.9922,1.4322,1.4638,1.3575,1.4447,1.4497,1.4322
17.3,0.9922,1.4322,1.4646,1.3534,1.4505,1.4713,1.4206
17.4,0.9922,1.4239,1.4638,1.3467,1.448,1.4787,1.4223
17.5,0.9922,1.4256,1.4638,1.3509,1.4447,1.5003,1.4406
17.6,0.9922,1.4156,1.4854,1.355,1.4472,1.4962,1.4322
17.7,0.9922,1.4156,1.497,1.3534,1.4505,1.4846,1.4389
17.8,0.9922,1.4107,1.4912,1.3725,1.4455,1.4812,1.4389
17.9,0.9922,1.4132,1.4854,1.37,1.4347,1.4787,1.4655
18,0.9922,1.4132,1.4929,1.3675,1.4489,1.4895,1.4721
18.1,0.9922,1.4132,1.492,1.36,1.4414,1.4912,1.4804
18.2,0.9922,1.4032,1.4879,1.3492,1.4339,1.4779,1.4738
18.3,0.9922,1.4015,1.4937,1.3667,1.4347,1.4779,1.4696
18.4,0.9922,1.4015,1.4912,1.3675,1.4289,1.4588,1.4829
18.5,0.9922,1.3891,1.4904,1.3733,1.4347,1.4655,1.4846
18.6,0.9922,1.3949,1.5037,1.3716,1.4306,1.4746,1.4879
18.7,0.9922,1.3949,1.5012,1.3708,1.4148,1.4572,1.4945
18.8,0.9922,1.3808,1.497,1.3733,1.4273,1.4347,1.487
18.9,0.9922,1.3891,1.4929,1.3633,1.4239,1.4447,1.4904
19,0.9922,1.3841,1.492,1.3633,1.4098,1.4621,1.4804
19.1,0.9922,1.3791,1.4887,1.3691,1.3949,1.463,1.4895
19.2,0.9922,1.375,1.4895,1.3509,1.3882,1.4389,1.4837
