8.1,0.93906,0.9623,1.0453,0.817,0.75058,0.8087,0.76387,0.74145,0.65261
8.2,0.9266,0.94736,1.0379,0.81036,0.74892,0.79542,0.74809,0.73065,0.63517
8.3,0.92245,0.94238,1.0287,0.79127,0.74311,0.78213,0.74228,0.72235,0.63683
8.4,0.90668,0.92992,1.0154,0.773,0.7373,0.76636,0.72733,0.70658,0.62853
8.5,0.89256,0.92328,1.0105,0.75722,0.72733,0.75473,0.7099,0.69661,0.62272
8.6,0.88758,0.9183,0.99469,0.74726,0.70824,0.74726,0.69827,0.69246,0.61773
8.7,0.8826,0.90668,0.98887,0.73481,0.70159,0.7265,0.69744,0.68582,0.61524
8.8,0.87512,0.8992,0.97642,0.72484,0.69661,0.72152,0.69827,0.67336,0.61607
8.9,0.86599,0.89505,0.96397,0.7099,0.69495,0.70824,0.68167,0.67502,0.60943
9,0.85769,0.89007,0.96563,0.69412,0.69246,0.6991,0.6717,0.66672,0.59449
9.1,0.85852,0.87845,0.95317,0.68997,0.68001,0.68416,0.67336,0.65676,0.59283
9.2,0.85271,0.86433,0.94902,0.68167,0.66755,0.67669,0.66506,0.65344,0.59283
9.3,0.85022,0.85188,0.9374,0.67835,0.64929,0.66506,0.66423,0.65261,0.58286
9.4,0.83527,0.83195,0.93324,0.66755,0.64596,0.65759,0.66506,0.63849,0.58037
9.5,0.82863,0.82448,0.92992,0.65676,0.64846,0.65261,0.65178,0.63766,0.5812
9.6,0.81617,0.81451,0.92162,0.64347,0.64098,0.65842,0.63932,0.63185,0.58618
9.7,0.80704,0.80206,0.91083,0.63849,0.63268,0.65095,0.63185,0.61026,0.58535
9.8,0.79957,0.79376,0.90252,0.64015,0.63102,0.63683,0.62355,0.59781,0.58452
9.9,0.79459,0.79044,0.8909,0.62936,0.62521,0.63517,0.63434,0.59283,0.57373
10,0.78047,0.78296,0.88509,0.62853,0.62106,0.63185,0.62853,0.58203,0.58037
10.1,0.76885,0.78462,0.88011,0.62521,0.61026,0.62272,0.62023,0.55463,0.592
10.2,0.76802,0.77466,0.88426,0.62604,0.6086,0.6277,0.62106,0.54882,0.59781
10.3,0.76054,0.773,0.88094,0.61773,0.60445,0.62023,0.6194,0.53637,0.59864
10.4,0.76054,0.75556,0.87346,0.6169,0.60445,0.62438,0.61358,0.53388,0.59117
10.5,0.75307,0.7539,0.86765,0.61857,0.61192,0.61857,0.61607,0.53388,0.58203
10.6,0.74477,0.75307,0.86848,0.61524,0.61026,0.60694,0.61275,0.53803,0.58203
10.7,0.74726,0.7456,0.85354,0.62189,0.59947,0.60943,0.61192,0.54384,0.57622
10.8,0.74477,0.74145,0.84108,0.60943,0.61109,0.6086,0.61275,0.55214,0.5812
10.9,0.73398,0.73896,0.83527,0.61192,0.60694,0.61524,0.60196,0.56045,0.5729
11,0.72899,0.72982,0.83278,0.60196,0.59532,0.61109,0.58867,0.55961,0.57622
11.1,0.72401,0.72982,0.81783,0.60279,0.59781,0.60777,0.59117,0.54882,0.57539
11.2,0.71986,0.72484,0.80621,0.60279,0.58951,0.59947,0.58535,0.54467,0.57041
11.3,0.72733,0.71239,0.80206,0.60528,0.59615,0.6086,0.59698,0.53969,0.56211
11.4,0.71405,0.70658,0.79708,0.61109,0.58701,0.61607,0.59034,0.53803,0.56543
11.5,0.71322,0.70325,0.78628,0.61192,0.58203,0.60943,0.58701,0.5372,0.57041
11.6,0.71488,0.71073,0.78462,0.61109,0.57124,0.59947,0.59283,0.52889,0.57124
11.7,0.71405,0.7099,0.77632,0.60777,0.57124,0.59449,0.59864,0.53803,0.57373
11.8,0.71322,0.71156,0.77466,0.60694,0.57041,0.58535,0.60279,0.54633,0.56792
11.9,0.71322,0.70824,0.75805,0.60362,0.56958,0.58784,0.59283,0.54799,0.55629
12,0.7099,0.70824,0.75141,0.59532,0.57124,0.57539,0.58701,0.54633,0.55131
12.1,0.70575,0.7099,0.74809,0.58369,0.56294,0.58203,0.58951,0.54965,0.55131
12.2,0.69993,0.70076,0.74145,0.58618,0.57373,0.58203,0.59034,0.55712,0.55629
12.3,0.69329,0.6991,0.73148,0.59283,0.57373,0.58369,0.59034,0.55463,0.56294
12.4,0.68997,0.6991,0.72152,0.59034,0.58535,0.57373,0.58286,0.54716,0.57124
12.5,0.6908,0.70409,0.71239,0.58535,0.5812,0.56543,0.58203,0.56211,0.56626
12.6,0.68499,0.69744,0.71156,0.58037,0.57124,0.56626,0.57622,0.57788,0.55961
12.7,0.67419,0.69163,0.70492,0.58701,0.55629,0.56792,0.58701,0.57788,0.55546
12.8,0.67004,0.69246,0.70907,0.58203,0.56211,0.56294,0.58369,0.57622,0.56543
12.9,0.66755,0.69661,0.70907,0.57622,0.5729,0.55546,0.58369,0.58203,0.56211
13,0.67336,0.70409,0.70492,0.57373,0.57456,0.55961,0.59117,0.59283,0.54965
13.1,0.66174,0.70325,0.70824,0.56958,0.58203,0.56211,0.59615,0.59034,0.54799
13.2,0.66091,0.69495,0.70076,0.57041,0.58618,0.56211,0.60943,0.59615,0.55297
13.3,0.66921,0.69246,0.6991,0.56792,0.58286,0.56045,0.60362,0.6003,0.54799
13.4,0.67087,0.68665,0.69163,0.56211,0.57373,0.56543,0.60362,0.59698,0.54052
13.5,0.66838,0.68499,0.68167,0.56377,0.57373,0.56543,0.6086,0.59532,0.55131
