0,1,2,3,4,5,6,7
11.2,0.71571,0.73564,0.66838,0.62521,0.73398,0.76719,0.79376
11.3,0.71571,0.73148,0.66589,0.64264,0.73231,0.76553,0.80787
11.4,0.71488,0.73148,0.66423,0.64846,0.7373,0.76802,0.81119
11.5,0.71488,0.72401,0.68748,0.65427,0.73148,0.76636,0.79625
11.6,0.71073,0.71903,0.69578,0.65012,0.72401,0.78213,0.80206
11.7,0.71073,0.71073,0.69412,0.64846,0.72733,0.79708,0.79542
11.8,0.71073,0.70409,0.69827,0.66506,0.74394,0.7921,0.81119
11.9,0.71073,0.70159,0.68665,0.6717,0.73813,0.79708,0.81368
12,0.71073,0.68914,0.68001,0.67752,0.74394,0.80787,0.83361
12.1,0.70076,0.68333,0.69246,0.68333,0.73231,0.8004,0.8361
12.2,0.70409,0.6825,0.6825,0.70409,0.73979,0.80123,0.83029
12.3,0.70409,0.66589,0.68333,0.7099,0.74726,0.81119,0.82448
12.4,0.6908,0.66257,0.68167,0.70741,0.74394,0.80206,0.84191
12.5,0.6908,0.66423,0.68665,0.72816,0.7456,0.81036,0.83859
12.6,0.70575,0.66423,0.6908,0.73564,0.73813,0.80704,0.84357
12.7,0.70492,0.66755,0.68914,0.74062,0.74394,0.8195,0.82946
12.8,0.70492,0.66589,0.70907,0.73481,0.7539,0.81036,0.84191
12.9,0.69744,0.66589,0.71571,0.7265,0.78047,0.8195,0.84108
13,0.6908,0.67586,0.72899,0.7265,0.79542,0.83195,0.84523
13.1,0.6908,0.67835,0.74643,0.72567,0.81534,0.84274,0.83776
13.2,0.68499,0.67087,0.74062,0.72982,0.82448,0.84357,0.84357
13.3,0.68499,0.67419,0.74809,0.74477,0.84357,0.84191,0.85686
13.4,0.68665,0.66838,0.74062,0.75722,0.85022,0.84191,0.85437
13.5,0.68665,0.67669,0.74062,0.77383,0.85852,0.83776,0.86184
13.6,0.68167,0.68001,0.74062,0.77964,0.86765,0.85022,0.86267
13.7,0.68167,0.6825,0.74892,0.79044,0.88426,0.86101,0.87346
13.8,0.69744,0.67502,0.74726,0.80123,0.88177,0.87679,0.87429
13.9,0.70242,0.66755,0.74477,0.80704,0.87845,0.88343,0.87595
14,0.70242,0.67752,0.75058,0.83112,0.87845,0.88924,0.87845
14.1,0.69329,0.67336,0.75971,0.82116,0.88011,0.90501,0.88675
14.2,0.69329,0.67253,0.75722,0.81866,0.87512,0.88592,0.87762
14.3,0.68748,0.68001,0.74809,0.80787,0.87845,0.89007,0.86848
14.4,0.68748,0.68748,0.73481,0.80704,0.87429,0.88841,0.86433
14.5,0.67253,0.69993,0.74145,0.82365,0.87928,0.8992,0.87762
14.6,0.67419,0.69744,0.74892,0.82614,0.86848,0.91498,0.87845
14.7,0.67419,0.70409,0.74643,0.84025,0.8718,0.91332,0.87928
14.8,0.66589,0.71571,0.73813,0.84523,0.88675,0.90335,0.88675
14.9,0.66589,0.7265,0.74145,0.83444,0.87845,0.90169,0.88592
15,0.66672,0.73398,0.75556,0.85105,0.88094,0.90086,0.89173
15.1,0.66672,0.73896,0.75141,0.84856,0.87845,0.91,0.88758
15.2,0.66008,0.74892,0.75473,0.84856,0.87014,0.90917,0.8826
15.3,0.65261,0.76304,0.7647,0.86931,0.86018,0.91083,0.87928
15.4,0.65261,0.76719,0.773,0.8635,0.8826,0.90501,0.86931
15.5,0.65344,0.75722,0.78213,0.85935,0.89671,0.90418,0.87845
15.6,0.65344,0.75224,0.77134,0.85935,0.8909,0.89754,0.89505
15.7,0.65842,0.74809,0.78628,0.86765,0.89505,0.87429,0.91
15.8,0.65842,0.75307,0.78877,0.85603,0.89256,0.87429,0.91913
15.9,0.66423,0.75224,0.79708,0.85022,0.90501,0.87928,0.91166
16,0.66423,0.75141,0.8195,0.85105,0.90003,0.88343,0.90834
16.1,0.66423,0.74726,0.82033,0.86101,0.90668,0.89671,0.91249
16.2,0.66008,0.74975,0.82033,0.87429,0.91166,0.90751,0.93408
16.3,0.66091,0.7539,0.81368,0.84689,0.91498,0.92328,0.93989
16.4,0.66091,0.75888,0.82531,0.83942,0.92079,0.94487,0.92328
16.5,0.64763,0.75141,0.83444,0.83942,0.92577,0.94404,0.92743
16.6,0.64763,0.76221,0.84606,0.83444,0.93823,0.93491,0.9266
16.7,0.64264,0.76054,0.83859,0.8361,0.92992,0.93324,0.89173
16.8,0.64264,0.77051,0.8444,0.82614,0.93574,0.93906,0.88177
16.9,0.64264,0.77715,0.84274,0.84856,0.91996,0.91581,0.86765
17,0.63932,0.78794,0.83112,0.84274,0.91581,0.92577,0.88758
17.1,0.63932,0.7921,0.83112,0.84856,0.92162,0.92577,0.89588
17.2,0.64264,0.80123,0.83444,0.84606,0.9266,0.92245,0.90834
17.3,0.64264,0.8004,0.83693,0.82282,0.91581,0.91747,0.91332
17.4,0.64929,0.81451,0.8361,0.82863,0.90751,0.92494,0.93408
17.5,0.65012,0.81451,0.84523,0.8552,0.92079,0.90917,0.95981
17.6,0.65012,0.81866,0.85769,0.84357,0.93075,0.90418,0.93989
17.7,0.64763,0.81617,0.87762,0.8361,0.91332,0.8992,0.93989
17.8,0.65759,0.82199,0.87512,0.84274,0.91166,0.89588,0.94653
17.9,0.66174,0.82946,0.87512,0.84939,0.90418,0.89422,0.94072
18,0.66174,0.82946,0.87014,0.8552,0.89754,0.89505,0.95483
18.1,0.65759,0.8278,0.87679,0.85354,0.88094,0.90418,0.93906
18.2,0.65759,0.82199,0.87429,0.84773,0.88758,0.90252,0.95317
