cap,bottom,center,top
0.100000,12.550242,9.789189,7.028136
0.100000,6.024116,5.773111,5.522107
0.100000,5.522107,5.522107,5.522107
0.100000,6.024116,5.020097,4.016078
0.100000,10.040194,6.777131,3.514068
0.100000,5.522107,6.777131,8.032155
0.100000,14.558281,8.283160,2.008039
0.100000,4.016078,4.518087,5.020097
0.100000,0.000000,0.000000,0.000000
0.100000,13.052252,8.785170,4.518087
0.100000,4.016078,4.267082,4.518087
0.100000,0.000000,3.012058,6.024116
0.100000,13.554262,6.777131,0.000000
0.100000,3.012058,1.506029,0.000000
0.100000,2.008039,1.004019,0.000000
0.100000,0.000000,2.761053,5.522107
0.100000,13.052252,8.534165,4.016078
0.100000,0.000000,3.514068,7.028136
0.100000,2.510048,1.255024,0.000000
0.100000,8.505704,8.255537,8.005369
0.100000,5.003356,6.004027,7.004698
0.100000,5.003356,5.753859,6.504362
0.100000,9.006040,7.004698,5.003356
0.100000,0.000000,1.250839,2.501678
0.100000,6.504362,6.254194,6.004027
0.100000,12.508389,11.257550,10.006711
0.100000,14.509731,8.255537,2.001342
0.100000,-2.001342,0.500336,3.002013
0.100000,2.001342,4.753188,7.505033
0.100000,7.004698,9.006040,11.007382
0.100000,9.506375,7.505033,5.503691
0.100000,0.000000,3.002013,6.004027
0.100000,9.506375,7.755201,6.004027
0.100000,6.004027,4.503020,3.002013
0.100000,6.504362,6.754530,7.004698
0.100000,9.506375,8.255537,7.004698
0.100000,-1.000671,1.751174,4.503020
0.100000,4.503020,5.753859,7.004698
0.100000,5.503691,5.503691,5.503691
0.100000,0.000000,3.252181,6.504362
0.100000,6.504362,6.504362,6.504362
0.100000,5.503691,6.004027,6.504362
0.100000,6.004027,6.504362,7.004698
0.100000,8.505704,8.005369,7.505033
0.100000,1.501007,4.002684,6.504362
0.100000,0.000000,3.252181,6.504362
0.100000,0.000000,1.751174,3.502349
0.100000,3.002013,6.004027,9.006040
