hyd,vel
0.000000,-1.992141
0.000000,0.796856
0.000000,2.788998
0.000000,-0.199214
0.000000,2.191355
0.000000,-0.398428
0.000000,-0.398428
0.000000,0.597642
0.000000,0.996071
0.000000,-0.597642
0.000000,1.992141
0.000000,3.585854
0.000000,1.792927
0.000000,3.386640
0.000000,0.996071
0.000000,1.195285
0.000000,2.788998
0.000000,-1.394499
0.000000,2.788998
0.000000,-1.792927
0.000000,0.398428
0.000000,-0.796856
0.000000,-0.199214
0.000000,-2.191355
0.000000,0.199214
0.000000,0.597642
0.000000,0.000000
0.000000,0.796856
0.000000,1.992141
0.000000,-1.992141
0.000000,-2.589784
0.000000,0.597642
0.000000,1.195285
0.100000,2.806358
0.100000,5.412262
0.100000,9.822252
0.100000,0.801817
0.100000,4.610445
0.100000,8.018165
0.100000,2.004541
0.100000,7.817711
0.100000,6.013624
0.100000,3.407720
0.100000,0.000000
0.100000,3.808629
0.100000,5.813170
0.100000,5.612716
0.100000,3.407720
0.100000,3.006812
0.100000,9.020436
0.100000,5.813170
0.100000,4.209537
0.100000,2.605904
0.100000,4.009083
0.100000,-1.603633
0.100000,2.605904
0.100000,5.612716
0.100000,0.400908
0.100000,5.813170
0.100000,3.207266
0.100000,3.808629
0.100000,4.610445
0.100000,5.211807
0.100000,1.002271
0.100000,4.810899
0.100000,5.612716
0.100000,8.018165
0.100000,4.209537
0.100000,4.610445
0.100000,2.605904
0.100000,6.013624
0.100000,1.403179
0.100000,1.202725
0.100000,1.804087
0.100000,1.202725
0.100000,1.603633
0.100000,3.407720
0.100000,2.806358
0.100000,2.806358
0.100000,6.214078
0.100000,2.806358
0.100000,5.412262
0.100000,5.412262
0.100000,3.207266
0.100000,5.813170
0.100000,4.009083
0.100000,5.412262
0.100000,3.207266
0.100000,2.806358
0.100000,5.011353
0.100000,0.601362
0.100000,3.006812
0.100000,6.013624
0.100000,3.808629
0.100000,5.211807
0.100000,5.612716
0.100000,0.000000
0.100000,3.808629
0.100000,1.403179
0.100000,4.209537
0.100000,2.004541
0.100000,4.409991
0.100000,-0.200454
0.100000,7.990940
0.100000,0.599320
0.100000,7.591393
0.100000,1.198641
0.100000,5.393884
0.100000,0.799094
0.100000,3.995470
0.100000,3.995470
0.100000,5.393884
0.100000,4.195243
0.100000,4.994337
0.100000,4.195243
0.100000,5.793431
0.100000,5.993205
0.100000,6.392752
0.100000,4.594790
0.100000,0.599320
0.100000,4.195243
0.100000,4.195243
0.100000,6.192978
0.100000,5.793431
0.100000,4.395017
0.100000,2.996602
0.100000,7.191846
0.100000,5.793431
0.100000,2.397282
0.100000,2.197508
0.100000,2.197508
0.100000,1.598188
0.100000,4.794564
0.100000,4.794564
0.100000,1.598188
0.100000,4.395017
0.100000,0.799094
0.100000,4.994337
0.100000,3.396149
0.100000,4.395017
0.100000,2.796829
0.100000,5.593658
0.100000,3.995470
0.100000,4.794564
0.100000,7.591393
0.100000,4.594790
0.100000,2.197508
0.100000,1.598188
0.100000,6.992072
0.100000,1.797961
0.100000,3.595923
0.100000,5.194111
0.100000,5.593658
0.100000,3.995470
0.100000,6.392752
0.100000,5.593658
0.100000,5.194111
0.100000,6.392752
