cap,bottom,center,top
0.500000,4.634122,5.137831,5.641540
0.500000,2.216319,4.231155,6.245991
0.500000,17.932038,16.823878,15.715719
0.500000,4.835606,5.238573,5.641540
0.500000,5.440056,5.943765,6.447474
0.500000,5.037089,8.663794,12.290498
0.500000,4.231155,5.238573,6.245991
0.500000,4.432639,6.245991,8.059343
0.500000,5.037089,6.145249,7.253409
0.500000,8.059343,6.648958,5.238573
0.500000,4.029671,3.122995,2.216319
0.500000,4.231155,5.440056,6.648958
0.500000,3.626704,6.145249,8.663794
0.500000,7.051925,6.346732,5.641540
0.500000,8.059343,6.648958,5.238573
0.500000,8.462310,6.648958,4.835606
0.500000,8.865277,7.757117,6.648958
0.500000,5.843024,4.130413,2.417803
0.500000,7.454892,5.641540,3.828188
0.500000,2.216319,3.425221,4.634122
0.500000,4.634122,5.339315,6.044507
0.500000,0.000000,2.216319,4.432639
0.500000,4.835606,5.440056,6.044507
0.500000,6.044507,6.145249,6.245991
0.500000,5.641540,6.145249,6.648958
0.500000,6.245991,4.634122,3.022254
0.500000,7.656376,7.051925,6.447474
0.500000,7.253409,9.469728,11.686047
0.500000,3.425221,4.835606,6.245991
0.500000,3.223737,3.626704,4.029671
0.500000,2.014836,2.619286,3.223737
0.500000,5.238573,5.037089,4.835606
0.500000,6.245991,5.137831,4.029671
0.500000,8.865277,5.137831,1.410385
0.500000,8.663794,6.145249,3.626704
0.500000,1.813352,3.727446,5.641540
0.500000,1.813352,4.734864,7.656376
0.500000,5.440056,6.044507,6.648958
0.500000,0.805934,2.014836,3.223737
0.500000,6.850441,5.742282,4.634122
0.500000,4.029671,7.152667,10.275662
0.500000,2.619286,3.122995,3.626704
0.500000,2.619286,4.130413,5.641540
0.500000,7.857859,7.757117,7.656376
0.500000,5.843024,5.943765,6.044507
0.500000,1.813352,8.663794,15.514235
0.500000,3.626704,3.223737,2.820770
0.500000,6.044507,4.331897,2.619286
0.500000,8.059343,7.253409,6.447474
0.500000,1.410385,4.029671,6.648958
0.500000,2.417803,3.928930,5.440056
0.500000,7.253409,6.447474,5.641540
0.500000,2.417803,4.835606,7.253409
