time,len
Steady State,41.000000
Steady State,22.000000
Steady State,30.000000
Steady State,18.000000
Steady State,45.000000
Steady State,30.000000
Steady State,18.000000
Steady State,19.000000
Steady State,13.000000
Steady State,23.000000
Steady State,10.000000
Steady State,23.000000
Steady State,19.000000
Steady State,15.000000
Steady State,16.000000
Steady State,20.000000
Steady State,45.000000
Steady State,26.000000
Steady State,21.000000
Steady State,24.000000
Steady State,19.000000
Steady State,23.000000
Steady State,11.000000
Steady State,33.000000
Steady State,26.000000
Steady State,2.000000
Steady State,26.000000
Steady State,35.000000
Steady State,24.000000
Steady State,35.000000
Steady State,8.000000
Steady State,40.000000
